baseline,c1,c2,politeness question,left of slider,right of slider,predicate question,,"Speaker,Slightly_S1,Slightly_S2,KindOf_S1,KindOf_S2,Quite_S1,Quite_S2,Very_S1,Very_S2,Extremely_S1,Extremely_S2"
"In their office, Terry tells his coworker, ""The room is [modifier] cold,"" and asks them to raise the temperature.","In their office, Terry tells a coworker, ""The room is [modifier] cold,"" and asks them to go to the temperature control room to raise the temperature.","A few minutes after Terry's coworker Talia lowered the air conditioning in their office, Terry tells Talia, ""The room is [modifier] cold,"" and asks her to raise the temperature.",How polite is Terry being?,Not polite at all,As polite as possible,How cold is Terry feeling?,,"Terry,55,45,50,40,45,35,40,30,35,25"
"In a classroom, Anni says to her homeroom teacher, ""The air conditioning is [modifier] cold"" and asks her teacher to change the settings.                                                                ","A prestigious guest lecturer is teaching a class today, and Anni says to him, ""The air conditioning is [modifier] cold"" and asks them to change the settings.",,How polite is Anni being?,Not polite at all,As polite as possible,How cold is Anni feeling?,,"Anni,65,40,60,35,55,30,50,25,45,20"
"In a taxi, Dan tells the driver, ""It's [modifier] cold,"" and asks them to turn down the air conditioning.","On a public bus, Dan tells the driver, ""It's [modifier] cold,"" and asks them to turn down the air conditioning.",,How polite is Dan being?,Not polite at all,As polite as possible,How cold is Dan feeling?,,"Dan_Taxi,60,50,55,45,50,40,45,35,40,30"
"At a restaurant, Melissa tells the staff, ""The air conditioning is [modifier] cold,"" and asks him to change the settings.","At a restaurant, the waiter notices Melissa wearing 
her jacket and asks if she's comfortable. Melissa tells the 
staff, ""The air conditioning is [modifier] cold,"" and asks 
them to change the settings.",,How polite is Melissa being?,Not polite at all,As polite as possible,How cold is Melissa feeling?,,"Melissa,60,70,55,65,50,60,45,55,40,50"
"Dan is attending a game night at Mary's house. Dan tells Mary, ""It's [modifier] cold here,"" and asks her to raise the temperature.","Dan is attending a game night at Mary's house. Dan tells Mary, ""It's [modifier] cold here,"" and asks her to hand him a coat from the coat rack.",,How polite is Dan being?,Not polite at all,As polite as possible,How cold is Dan feeling?,,"Dan_Mary,55,65,50,60,45,55,40,50,35,45"
"A coworker started her lunch break early is talking on the phone with a friend next to Lisa. Lisa tells the coworker, ""Your voice is [modifier] loud,"" and asks them to be quieter.","A coworker is talking on the phone with a client. Lisa tells the coworker, ""Your voice is [modifier] loud,"" and asks them to be quieter.",,How polite is Lisa being?,Not polite at all,As polite as possible,How loud does Lisa think her coworker is?,,"Lisa,35,25,30,20,25,15,20,10,15,5"
"Amy is playing games in her room, and her roommate Jake is practicing piano in the living room. Amy tells Jake, ""The sound is [modifier] loud,"" and asks him to turn down the volume.","Amy is sick in bed in her room, and her roommate Jake is practicing piano in the living room. Amy tells Jake, ""The sound is [modifier] loud,"" and asks him to turn down the volume.
",,How polite is Amy being?,Not polite at all,As polite as possible,How loud does Amy think Jake is?,,"Amy,55,65,50,60,45,55,40,50,35,45"
"Sarah is at a restaurant with a friend. She tells the staff, ""The volume is [modifier] loud,"" and asks them to turn it down.","Sarah is at a restaurant with a friend. She tells the staff, ""The volume is [modifier] loud and we can't enjoy our conversation,"" and asks them to turn it down. ",,How polite is Sarah being?,Not polite at all,As polite as possible,How loud does Sarah think the restaurant is?,,"Sarah,60,55,55,50,50,45,45,40,40,35"
"Claire is studying for an exam, but her brother is gaming in the living room. Claire says, ""The sound is [modifier] loud,"" and asks him to be quieter.","Claire is studying for an exam, but her brother and his friends are having a birthday party in the living room. Claire says, ""The sound is [modifier] loud,"" and asks them to be quieter.",,How polite is Claire being?,Not polite at all,As polite as possible,How loud does Claire think her brother is?,,"Claire,55,45,50,40,45,35,40,30,35,25"
"During class, students sitting near Alex are talking loudly. Alex tells them, ""Your voices are [modifier] loud and disrupting the class,"" and asks them to lower their voices.
","During class, students sitting near Alex are talking loudly. Alex tells them, ""Your voices are [modifier] loud,"" and asks them to lower their voices.",,How polite is Alex being?,Not polite at all,As polite as possible,How loud does Alex think the students are?,,"Alex_Students,50,55,45,50,40,45,35,40,30,35"
"Tom and his housemate Jordan have invited their friends over. Tom tells Jordan, ""The sofa is [modifier] messy,"" and asks him to clean his things up before the guests arrive.","Tom and his housemate Jordan have invited their friends over. While showing the coworker around the house, Tom tells Jordan, ""The sofa is [modifier] messy,"" and asks him to clean his things up.","Tom and his roommate Jordan are cleaning the house because they have invited their friends over. Tom tells Jordan, ""The sofa is [modifier] messy,"" and asks him to clean the sofa while Jordan is tidying up.",How polite is Tom being?,Not polite at all,As polite as possible,How messy does Tom think the sofa is?,,"Tom,50,35,45,30,40,25,35,20,30,15"
"Emma is at Chloe's apartment to work on a class assignment together. Seeing notebooks and candy wrappers on the desk, Emma says, ""This room is [modifier] messy,"" and they clean up together before starting work.","Emma is in the living room of Chloe's apartment to work on a class assignment together. Emma enters Chloe's bedroom to borrow a desk lamp and says, ""The bedroom is [modifier] messy.""",,How polite is Emma being?,Not polite at all,As polite as possible,How messy does Emma think it is?,,"Emma,70,25,65,20,60,15,55,10,50,5"
"Leo has come to Noah's apartment to study. Leo says, ""This desk is [modifier] messy,"" and asks him to organize it before they begin.","Leo has come to Noah's apartment to study. After sitting down at the desk and looking at the kitchen, Leo says, ""The kitchen is [modifier] messy.""",,How polite is Leo being?,Not polite at all,As polite as possible,How messy does Leo think the desk is?,,"Leo,45,20,40,15,35,10,30,5,25,3"
"Rachel picks up Sophie to go to a concert together. Seeing trash on the floor, Sophie says, ""The car is [modifier] messy,"" and they clean up together before leaving.","Rachel picks up Sophie to go to a concert together. Rachel says that the road was bumpy and things she had in the car scattered everywhere. Sophie says, ""You're right. The car is [modifier] messy,"" and they clean up together before leaving.",,How polite is Sophie being?,Not polite at all,As polite as possible,How messy does Sophie think the car is?,,"Rachel_Sophie,70,75,65,70,60,65,55,60,50,55"
"Alex's desk is overflowing with documents. Seeing this, Liam says, ""Your desk is [modifier] messy,"" and asks him to clean it up before Liam's client arrives.","Alex is busy with a project deadline approaching, and his desk is overflowing with documents. Seeing this, Liam says, ""Your desk is [modifier] messy,"" and asks him to clean it up before Liam's client arrives.",,How polite is Liam being?,Not polite at all,As polite as possible,How messy does Liam think Alex's desk is?,,"Liam_Alex,50,55,45,50,40,45,35,40,30,35"
"James is talking to a coworker about this week's work meeting. James says the coworker's report was ""[modifier] long"" and suggests summarizing it more concisely.","James is talking to a coworker about this week's work meeting. James says the coworker's report was ""[modifier] long and lengthen the meeting"" and suggests summarizing it more concisely.",,How polite is James being?,Not polite at all,As polite as possible,How long does James think the coworker's report is?,,"James,55,50,50,45,45,40,40,35,35,30"
"Bill's gives a practive presentation in class. Afterwards, Anna says to Bill ""The introduction was [modifier] long and hard to follow"" and suggests him to be careful of timing in the actual presentation.","Bill gives a presentation in class. As part of the peer-asessment process, Anna provides feedback saying ""The introduction was [modifier] long and hard to follow"" and suggests him to be careful of timing next time.",,How polite is Anna being?,Not polite at all,As polite as possible,How long does Anna think Bill's introduction is?,,"Anna,60,70,55,65,50,60,45,55,40,50"
"Jillian consults Dylan to review the meeting agenda she created. Dylan notices that there are too many items for the allotted time and says, ""This agenda is [modifier] long,"" and suggests cutting out some topics.
","Jillian consults Dylan to review the agenda she created for tomorrow's meeting, mentioning that she is worried that there are too many items for the allotted time. Dylan agrees and says, ""You're right, this agenda is [modifier] long,"" and suggests cutting out some topics.",,How polite is Dylan being?,Not polite at all,As polite as possible,How long does Dylan think the agenda is?,,"Dylan,50,75,45,70,40,65,35,60,30,55"
"Maya asks her coworker Peter to check a draft email to send to a client. Peter says, ""This email is [modifier] long,"" and suggests removing details to make it more concise.
","Maya has Peter, who is working with her on the client, review a draft email to send to the client. Peter says, ""This email is [modifier] long,"" and works with Maya to make it more concise.","Maya has Peter check an email she spent hours creating to send to a VIP client. Peter says, ""This email is [modifier] long,"" and suggests removing details to make it more concise.",How polite is Peter being?,Not polite at all,As polite as possible,How long does Peter think the email is?,,"Peter,55,65,50,60,45,55,40,50,35,45"
"Liam is reviewing a report Sofia prepared for her boss at her request. After finishing reading, he says, ""This report is [modifier] long,"" and suggests shortening some parts to make it more concise.","Liam is reads the report Sofia created in preparation for a meeting. Just as they are going into the meeting he says, ""This report is [modifier] long."".",,How polite is Liam being?,Not polite at all,As polite as possible,How long does Liam think the report is?,,"Liam_Sofia,60,30,55,25,50,20,45,15,40,10"